main_uniprot_id,total_rows_from_main,original_rows,augmented_rows,unique_augmented_uniprot_ids
O94827,5,0,5,5
A0AVK6,5,1,4,4
A7KAX9,5,1,4,4
O14757,7,3,4,4
O15516,5,1,4,4
O43566,5,1,4,4
O43896,5,1,4,4
O60343,12,8,4,4
O75030,6,2,4,4
O75376,5,1,4,4
O75385,6,2,4,4
O75791,5,1,4,4
O76090,5,1,4,4
O94875,5,1,4,4
O94885,5,1,4,4
O94921,6,2,4,4
O94988,5,1,4,4
O95382,5,1,4,4
P00338,5,1,4,4
P00519,5,1,4,4
P03372,5,1,4,4
P05107,5,1,4,4
P05783,7,3,4,4
P07101,7,3,4,4
P10070,7,3,4,4
P10071,5,1,4,4
P14136,8,4,4,4
P16333,5,1,4,4
P16471,5,1,4,4
P17752,5,1,4,4
P18615,6,2,4,4
P19484,15,11,4,4
P19634,10,6,4,4
P21127,5,1,4,4
P21980,5,1,4,4
P22736,5,1,4,4
P27986,5,1,4,4
P30291,5,1,4,4
P32004,5,1,4,4
P32927,5,1,4,4
P40818,7,3,4,4
P43681,5,1,4,4
P46937,10,6,4,4
P48729,8,4,4,4
P49796,5,1,4,4
P52198,5,1,4,4
P54253,5,1,4,4
P55042,6,2,4,4
P58340,5,1,4,4
P63208,5,1,4,4
Q00613,5,1,4,4
Q00975,5,1,4,4
Q04912,5,1,4,4
Q05513,5,1,4,4
Q13049,5,1,4,4
Q13094,8,4,4,4
Q13105,8,4,4,4
Q13107,5,1,4,4
Q13164,5,1,4,4
Q13322,6,2,4,4
Q13363,6,2,4,4
Q13671,5,1,4,4
Q14247,5,1,4,4
Q14432,5,1,4,4
Q14678,6,2,4,4
Q14CB8,7,3,4,4
Q15139,5,1,4,4
Q15569,5,1,4,4
Q15831,5,1,4,4
Q15942,5,1,4,4
Q16584,5,1,4,4
Q2PPJ7,5,1,4,4
Q4VCS5,5,1,4,4
Q5PRF9,5,1,4,4
Q5SQI0,5,1,4,4
Q5VWQ8,6,2,4,4
Q6N021,5,1,4,4
Q6P4D5,5,1,4,4
Q6PJF5,5,1,4,4
Q6R327,8,4,4,4
Q6ZN04,5,1,4,4
Q7Z418,6,2,4,4
Q86V87,5,1,4,4
Q86X29,5,1,4,4
Q8IVT5,5,1,4,4
Q8NCD3,6,2,4,4
Q8ND25,7,3,4,4
Q92622,5,1,4,4
Q92934,11,7,4,4
Q92945,5,1,4,4
Q92974,10,6,4,4
Q96AD5,5,1,4,4
Q96F86,5,1,4,4
Q96JI7,5,1,4,4
Q96QT4,5,1,4,4
Q99959,5,1,4,4
Q9BWT1,8,4,4,4
Q9BZL4,5,1,4,4
Q9GZV5,6,2,4,4
Q9GZY8,6,2,4,4
Q9H6H4,5,1,4,4
Q9H9Q4,5,1,4,4
Q9HC77,5,1,4,4
Q9HCU9,5,1,4,4
Q9NPG2,5,1,4,4
Q9NQT8,6,2,4,4
Q9NQU5,5,1,4,4
Q9NSI8,5,1,4,4
Q9NZJ0,5,1,4,4
Q9P0N9,5,1,4,4
Q9P0V3,5,1,4,4
Q9P286,5,1,4,4
Q9UBF8,5,1,4,4
Q9UJM3,6,2,4,4
Q9UK53,5,1,4,4
Q9UMS4,5,1,4,4
Q9UPA5,5,1,4,4
Q9UQ26,6,2,4,4
Q9UQ84,11,7,4,4
Q9Y2J0,6,2,4,4
Q9Y2K2,5,1,4,4
Q9Y2U5,6,2,4,4
Q9Y3C5,5,1,4,4
Q9Y3M2,6,2,4,4
Q9Y3R0,5,1,4,4
Q9Y4H4,5,1,4,4
A2RUS2,5,2,3,3
O00159,4,1,3,3
O14727,4,1,3,3
O15151,8,5,3,3
O15530,7,4,3,3
O15553,11,8,3,3
O43524,9,6,3,3
O60741,5,2,3,3
O95863,8,5,3,3
O96013,8,5,3,3
P04233,4,1,3,3
P05114,5,2,3,3
P07359,7,4,3,3
P08151,5,2,3,3
P11362,4,1,3,3
P13569,6,3,3,3
P15056,8,5,3,3
P15144,5,2,3,3
P17302,5,2,3,3
P20941,8,5,3,3
P21802,4,1,3,3
P23528,8,5,3,3
P26045,10,7,3,3
P26358,4,1,3,3
P26651,11,8,3,3
P30304,21,18,3,3
P30307,9,6,3,3
P41279,5,2,3,3
P42575,5,2,3,3
P46527,9,6,3,3
P48552,8,5,3,3
P49675,6,3,3,3
P49757,8,5,3,3
P49841,4,1,3,3
P52565,4,1,3,3
P53350,8,5,3,3
P55040,7,4,3,3
P57059,5,2,3,3
P78314,9,6,3,3
P98177,8,5,3,3
Q00266,5,2,3,3
Q00536,5,2,3,3
Q00987,9,6,3,3
Q02156,10,7,3,3
Q02241,6,3,3,3
Q06187,5,2,3,3
Q07352,8,5,3,3
Q12778,16,13,3,3
Q12802,7,4,3,3
Q12809,5,2,3,3
Q13370,5,2,3,3
Q14155,5,2,3,3
Q14457,5,2,3,3
Q14693,5,2,3,3
Q16613,5,2,3,3
Q2M1Z3,6,3,3,3
Q53EL6,5,2,3,3
Q5D1E8,6,3,3,3
Q5T1R4,5,2,3,3
Q6TGC4,4,1,3,3
Q6VAB6,5,2,3,3
Q7KZI7,8,5,3,3
Q7Z309,5,2,3,3
Q7Z3C6,4,1,3,3
Q7Z5H3,8,5,3,3
Q86TI0,9,6,3,3
Q86YD1,5,2,3,3
Q8IWU9,7,4,3,3
Q8IYK8,5,2,3,3
Q8N122,8,5,3,3
Q8ND76,19,16,3,3
Q8NHG8,5,2,3,3
Q8NHY2,4,1,3,3
Q8TCG1,4,1,3,3
Q8TDN4,8,5,3,3
Q8TEW0,6,3,3,3
Q8WV28,6,3,3,3
Q8WYL5,9,6,3,3
Q96E09,6,3,3,3
Q96RK0-2,5,2,3,3
Q96RR4,6,3,3,3
Q96TC7,4,1,3,3
Q99683,5,2,3,3
Q99697,4,1,3,3
Q9GZM8,8,5,3,3
Q9H1K1,5,2,3,3
Q9NS28,5,2,3,3
Q9NYF0,8,5,3,3
Q9P0K1,8,5,3,3
Q9UJU6,8,5,3,3
Q9UKF7,8,5,3,3
Q9UPN4,5,2,3,3
Q9UQC2,10,7,3,3
Q9UQQ2,8,5,3,3
Q9Y580,5,2,3,3
Q9Y6R0,10,7,3,3
Q04695,5,2,3,2
Q07889,5,2,3,2
Q14934,9,6,3,2
Q6PJG9,8,5,3,2
Q8N5S9,5,2,3,2
Q96QB1,5,2,3,2
O14558,3,1,2,2
O14974,5,3,2,2
O43791,3,1,2,2
O75628,3,1,2,2
P04049,13,11,2,2
P04637,11,9,2,2
P07954,3,1,2,2
P10275,3,1,2,2
P10636,9,7,2,2
P35568,9,7,2,2
P41181,5,3,2,2
P43405,6,4,2,2
P49450,3,1,2,2
P49585,4,2,2,2
P49685,3,1,2,2
P49815,16,14,2,2
P50549,9,7,2,2
P61587,8,6,2,2
P81274,9,7,2,2
Q05086-2,3,1,2,2
Q09472,3,1,2,2
Q13470,6,4,2,2
Q14957,3,1,2,2
Q53ET0,7,5,2,2
Q6P597,6,4,2,2
Q86UR1,6,4,2,2
Q86UR5,12,10,2,2
Q8WUI4,8,6,2,2
Q92730,3,1,2,2
Q96B36,11,9,2,2
Q96IF1,6,4,2,2
Q99759,7,5,2,2
Q9H0K1,8,6,2,2
Q9NS23-2,5,3,2,2
Q9UQB8,12,10,2,2
Q9UQL6,12,10,2,2
Q9Y446,3,1,2,2
Q9Y4L5,3,1,2,2
Q01113,4,2,2,1
Q96PU5,8,6,2,1
O43314,2,1,1,1
P04150,13,12,1,1
P08069,2,1,1,1
P20701,2,1,1,1
P30305,11,10,1,1
P35222,2,1,1,1
P56524,8,7,1,1
Q13002,3,2,1,1
Q13009,6,5,1,1
Q13627,2,1,1,1
Q15418,7,6,1,1
Q5S007,14,13,1,1
Q96PX8,2,1,1,1
Q9H0B6,5,4,1,1
A0A0B4J1X5,1,1,0,0
A0A0B4J1Y9,1,1,0,0
A0A0C4DH31,1,1,0,0
A0A0J9YXX1,1,1,0,0
A0A1B0GTW7,1,1,0,0
A0AV02,1,1,0,0
A1L0T0,1,1,0,0
A1XBS5,1,1,0,0
A2A3K4,1,1,0,0
A2RU49,1,1,0,0
A2RUB6,1,1,0,0
A2VDJ0,1,1,0,0
A4D161,1,1,0,0
A5YM72,1,1,0,0
A6BM72,1,1,0,0
A6NFA1,1,1,0,0
A6NK06,1,1,0,0
A6NMY6,1,1,0,0
A8CG34,1,1,0,0
A8K7I4,1,1,0,0
A8MTJ3,1,1,0,0
A8MTQ0,1,1,0,0
B0I1T2,1,1,0,0
B0YJ81,1,1,0,0
B3EWF7,1,1,0,0
C9JE40,1,1,0,0
O00115,1,1,0,0
O00230,1,1,0,0
O00311,1,1,0,0
O00400,1,1,0,0
O00410,1,1,0,0
O00470,1,1,0,0
O00507,1,1,0,0
O00585,1,1,0,0
O00744,1,1,0,0
O14514,1,1,0,0
O14618,1,1,0,0
O14633,1,1,0,0
O14638,1,1,0,0
O14713,1,1,0,0
O14756,1,1,0,0
O14770,1,1,0,0
O14777,1,1,0,0
O14793,1,1,0,0
O14795,1,1,0,0
O14874,1,1,0,0
O14894,1,1,0,0
O14936,1,1,0,0
O14967,1,1,0,0
O14977,1,1,0,0
O15015,1,1,0,0
O15018,1,1,0,0
O15034,1,1,0,0
O15042,1,1,0,0
O15069,1,1,0,0
O15091,1,1,0,0
O15119,1,1,0,0
O15120,1,1,0,0
O15127,1,1,0,0
O15162,1,1,0,0
O15164,1,1,0,0
O15232,1,1,0,0
O15247,1,1,0,0
O15344,1,1,0,0
O15392,1,1,0,0
O15394,1,1,0,0
O15400,1,1,0,0
O15417,1,1,0,0
O15427,1,1,0,0
O15439,1,1,0,0
O15523,1,1,0,0
O15547,1,1,0,0
O43156,1,1,0,0
O43189,1,1,0,0
O43280,1,1,0,0
O43307,1,1,0,0
O43309,1,1,0,0
O43374,1,1,0,0
O43464,1,1,0,0
O43529,1,1,0,0
O43570,1,1,0,0
O43609,1,1,0,0
O43614,1,1,0,0
O43633,1,1,0,0
O43674,1,1,0,0
O43889,1,1,0,0
O43908,1,1,0,0
O60218,1,1,0,0
O60299,1,1,0,0
O60313,1,1,0,0
O60469,1,1,0,0
O60494,1,1,0,0
O60503,1,1,0,0
O60547,1,1,0,0
O60602,1,1,0,0
O60663,1,1,0,0
O60673,1,1,0,0
O60675,1,1,0,0
O60706,1,1,0,0
O60825,5,5,0,0
O60861,1,1,0,0
O60869,1,1,0,0
O75061,1,1,0,0
O75121,1,1,0,0
O75146,1,1,0,0
O75152,1,1,0,0
O75155,1,1,0,0
O75369,1,1,0,0
O75387,1,1,0,0
O75417,1,1,0,0
O75419,1,1,0,0
O75563,1,1,0,0
O75691,1,1,0,0
O75787,1,1,0,0
O75817,1,1,0,0
O75828,1,1,0,0
O75881,1,1,0,0
O76036,1,1,0,0
O76054,1,1,0,0
O94817,1,1,0,0
O94910,1,1,0,0
O94979,1,1,0,0
O94983,1,1,0,0
O95050,1,1,0,0
O95071,1,1,0,0
O95073,1,1,0,0
O95169,1,1,0,0
O95198,1,1,0,0
O95239,1,1,0,0
O95255,1,1,0,0
O95365,1,1,0,0
O95428,1,1,0,0
O95456,1,1,0,0
O95497,1,1,0,0
O95631,1,1,0,0
O95665,1,1,0,0
O95704,1,1,0,0
O95750,1,1,0,0
O95870,1,1,0,0
O95876,1,1,0,0
O95907,1,1,0,0
O95932,1,1,0,0
O95985,1,1,0,0
O95999,1,1,0,0
P00492,1,1,0,0
P01138,1,1,0,0
P01160,1,1,0,0
P01225,1,1,0,0
P01241,1,1,0,0
P01266,1,1,0,0
P01270,1,1,0,0
P01566,1,1,0,0
P01569,1,1,0,0
P01589,1,1,0,0
P01591,1,1,0,0
P01611,1,1,0,0
P01615,1,1,0,0
P04114,1,1,0,0
P04141,1,1,0,0
P04818,1,1,0,0
P04843,1,1,0,0
P05023,1,1,0,0
P05412,1,1,0,0
P05981,1,1,0,0
P06280,1,1,0,0
P06307,1,1,0,0
P06729,1,1,0,0
P07197,1,1,0,0
P07332,1,1,0,0
P08047,1,1,0,0
P08493,1,1,0,0
P08559,1,1,0,0
P08686,1,1,0,0
P08709,1,1,0,0
P08922,1,1,0,0
P09455,1,1,0,0
P09488,1,1,0,0
P09622,1,1,0,0
P09661,1,1,0,0
P09917,1,1,0,0
P0C1S8,1,1,0,0
P0CG47,1,1,0,0
P0DJD7,1,1,0,0
P0DPK5,1,1,0,0
P10114,1,1,0,0
P10244,1,1,0,0
P10398,3,3,0,0
P11177,1,1,0,0
P11474,1,1,0,0
P11488,1,1,0,0
P11586,1,1,0,0
P11717,1,1,0,0
P11766,1,1,0,0
P12018,1,1,0,0
P12036,1,1,0,0
P12830,1,1,0,0
P12980,1,1,0,0
P13385,1,1,0,0
P13533,1,1,0,0
P13637,1,1,0,0
P14652,1,1,0,0
P15153,1,1,0,0
P15248,1,1,0,0
P15813,1,1,0,0
P15907,1,1,0,0
P16109,1,1,0,0
P16519,1,1,0,0
P17014,1,1,0,0
P17027,1,1,0,0
P17174,1,1,0,0
P18054,1,1,0,0
P18075,1,1,0,0
P18846,1,1,0,0
P18859,1,1,0,0
P19440,1,1,0,0
P19835,1,1,0,0
P19838,1,1,0,0
P20061,1,1,0,0
P20648,1,1,0,0
P20742,1,1,0,0
P20827,1,1,0,0
P20930,1,1,0,0
P21810,1,1,0,0
P22033,1,1,0,0
P22079,1,1,0,0
P22083,1,1,0,0
P22087,1,1,0,0
P22413,1,1,0,0
P22557,1,1,0,0
P22830,1,1,0,0
P23786,1,1,0,0
P24928,1,1,0,0
P25208,1,1,0,0
P25940,1,1,0,0
P25942,1,1,0,0
P26232,1,1,0,0
P26367,1,1,0,0
