H0XVX9	H0XVX9
A0A836AML3	A0A836AML3
A0A8U0S1M0	A0A8U0S1M0
W5MY49	W5MY49
F7AXY0	F7AXY0
UPI0001754067	UPI0001754067
UPI0001754067	A0A8D1PA21
H0W8X1	H0W8X1
UPI003005D7DA	UPI003005D7DA
A0A8B9QUK8	A0A8B9QUK8
UPI002FD7A67A	UPI002FD7A67A
UPI002FD7A67A	UPI0034D43A85
A0A669BTH9	A0A669BTH9
Q9H9Q4-1	Q9H9Q4-1
Q9H9Q4-1	Q9H9Q4
Q9H9Q4-1	Q9H9Q4-2
A0A5F9DMY1	A0A5F9DMY1
UPI001D1A1946	UPI001D1A1946
UPI001A9FCB1D	UPI001A9FCB1D
UPI0023DD2BEC	UPI0023DD2BEC
UPI00062BC7CD	UPI00062BC7CD
L5LWR6	L5LWR6
U3JNJ6	U3JNJ6
A0A3B1JM67	A0A3B1JM67
H0Z5J9	H0Z5J9
H2L892	H2L892
UPI0003C8F0BC	UPI0003C8F0BC
A0A2J8NGA8	A0A2J8NGA8
A0A6I8NGG2	A0A6I8NGG2
H3A9C8	H3A9C8
F6XER3	F6XER3
H9FFH2	H9FFH2
