W5M5E7	W5M5E7
A0A8T2KVB5	A0A8T2KVB5
H2M821	H2M821
UPI0011454756	UPI0011454756
UPI0011454756	A0A669BGH3
A0A9L0SLK3	A0A9L0SLK3
A0A9L0SLK3	A0A287BG63
A0A9L0SLK3	P49815-1
A0A9L0SLK3	P49815
A0A9L0SLK3	U3EML3
A0A9L0SLK3	UPI000947BC94
A0A9L0SLK3	A0AAX6QI33
A0A9L0SLK3	W5Q766
A0A9L0SLK3	G3TF51
A0A9L0SLK3	UPI002FE0A6A1
A0A9L0SLK3	P49815-4
A0A9L0SLK3	UPI0023E7C623
A0A9L0SLK3	A0A2I3H7F7
A0A9L0SLK3	UPI0019175B91
A0A9L0SLK3	UPI0032B07C4A
A0A9L0SLK3	G3WTR6
A0A9L0SLK3	A0A2J8INL4
A0A9L0SLK3	UPI000FFB7119
A0A9L0SLK3	F7EG37
A0A9L0SLK3	UPI000D531E6A
A0A803TRG0	A0A803TRG0
A0A8B9TP64	A0A8B9TP64
A0A8B9TP64	A0A803VH21
A0A8B9TP64	A0A674GBH7
A0A8M9Q1U8	A0A8M9Q1U8
H2ZSC2	H2ZSC2
