Q5XGE1	Q5XGE1
K9KBH1	K9KBH1
Q02241-1	Q02241-1
Q02241-1	Q02241
Q02241-1	UPI0003F17475
Q02241-1	UPI0023DD5AC5
Q02241-1	A0A480N2X0
Q02241-1	UPI000FFC5054
Q02241-1	A0A7N9CI29
Q02241-1	A0A2J8UCF6
Q02241-1	M3ZBV8
Q02241-1	Q02241-2
Q02241-1	UPI0005FB1951
Q02241-1	A0AAJ7KBH1
Q02241-1	F6RPS1
H3AWF6	H3AWF6
Q02241-3	Q02241-3
G9K792	G9K792
A0A3P9JVQ7	A0A3P9JVQ7
A0A3P9JVQ7	UPI000DF23D62
UPI0018D5AE29	UPI0018D5AE29
A0A674MEZ0	A0A674MEZ0
A0A8T2LTQ9	A0A8T2LTQ9
A0A5F8GQC3	A0A5F8GQC3
W5N9E9	W5N9E9
A0A7N4NHP6	A0A7N4NHP6
H0XXS1	H0XXS1
