Q9UPA5	Q9UPA5
Q9UPA5	G1R577
Q9UPA5	A0A835ZQ26
Q9UPA5	A0A452ESF5
Q9UPA5	O88737
Q9UPA5	O88737-1
Q9UPA5	UPI000D5396DB
Q9UPA5	UPI000FFB8AC8
Q9UPA5	H0XXP7
UPI00076785D7	UPI00076785D7
M4ARU9	M4ARU9
A0A8M1QUW7	A0A8M1QUW7
A0A7N4NUA4	A0A7N4NUA4
A0A7N4NUA4	UPI0024E20AB3
UPI000CCC2327	UPI000CCC2327
A0A286XXD0	A0A286XXD0
A0A286XXD0	G5BZW7
G3NQ26	G3NQ26
A0A6I8PB04	A0A6I8PB04
UPI000DF28883	UPI000DF28883
H3ARF6	H3ARF6
A0A3B1JZ25	A0A3B1JZ25
G1KVM6	G1KVM6
UPI001145A750	UPI001145A750
W5NA51	W5NA51
H2LBS1	H2LBS1
A0A803J6W6	A0A803J6W6
A0A8V1AFZ0	A0A8V1AFZ0
UPI0007AD8D37	UPI0007AD8D37
