L9KZK2	L9KZK2
A0A2J8IUT1	A0A2J8IUT1
A0A2J8IUT1	A0A8D0NWH1
A0A2J8IUT1	G1PCJ8
Q8N122-3	Q8N122-3
A0A3B3HWA3	A0A3B3HWA3
A0A3B3HWA3	UPI0020CB0ED2
A0A3B3HWA3	A0A669C773
A0A3B3HWA3	A0A803VHD1
A0A3B3HWA3	H0YXX1
A0A3B3HWA3	UPI00359FDAE4
A0A3B3HWA3	W5N7F7
B7Z3S8	B7Z3S8
B7Z3S8	G3TE60
B7Z3S8	UPI0011458494
A0A8B9R3W7	A0A8B9R3W7
A0A8B9R3W7	UPI0023DD1E77
A0A8B9R3W7	Q8K4Q0-1
A0A8B9R3W7	A0A8C2LXW3
A0A8B9R3W7	A0A2J8Y2C3
A0A8B9R3W7	UPI002F2B8C17
A0A8B9R3W7	Q8N122-1
A0A8B9R3W7	Q8N122
A0A8B9R3W7	M3XKA5
A0A8B9R3W7	A0A8I6AHQ2
A0A8B9R3W7	UPI001AE29D38
Q8K4Q0-2	Q8K4Q0-2
