W5MPG8	W5MPG8
UPI0035A02560	UPI0035A02560
L5MEV1	L5MEV1
L5MEV1	A0AAX6TLE5
L5MEV1	Q9UBF8
L5MEV1	W5QIJ7
L5MEV1	Q9UBF8-1
L5MEV1	O02810-1
L5MEV1	G3SWR2
L5MEV1	Q8BKC8-1
L5MEV1	B4UT09
L5MEV1	A0A8I6ASK5
L5MEV1	UPI0008F47F29
L5MEV1	A0A8I3X2W2
L5MEV1	UPI0007DBAEF5
L5MEV1	UPI0023E17A86
L5MEV1	A0A8D2CBV7
L5MEV1	Q8BKC8-2
L5MEV1	A0A8U0NDI4
L5MEV1	A0A8C0SJ61
L5MEV1	A0A7N5K3I8
L5MEV1	G1RGP1
L5MEV1	UPI00048BFF8D
L5MEV1	O02810-2
L5MEV1	UPI0007046CC9
L5MEV1	Q9UBF8-2
L5MEV1	A0A3Q2IAD5
L5MEV1	A0A286XPJ0
L5MEV1	F7DVF5
L5MEV1	G3H300
L5MEV1	UPI001301F675
L5MEV1	A0A452FR68
I3J7Z0	I3J7Z0
UPI0006D8FFF3	UPI0006D8FFF3
UPI0011AF8842	UPI0011AF8842
H2SZZ4	H2SZZ4
A0A803JCV5	A0A803JCV5
A0A3P9HZK1	A0A3P9HZK1
A0A3P9HZK1	A0A3B5PRL2
UPI00062CB007	UPI00062CB007
UPI0007AD966B	UPI0007AD966B
H9G5X6	H9G5X6
H9G5X6	A0A493SXH2
