UPI0013020AA1	UPI0013020AA1
A0A480R5S7	A0A480R5S7
A0A8C2NHK0	A0A8C2NHK0
A0A8C2NHK0	UPI00005BBE07
A0A8C2NHK0	W5P044
A0A8C2NHK0	G3SXE6
A0A8C2NHK0	A0A8C0N7R8
A0A8C2NHK0	F7HFE8
UPI001FB0C4F7	UPI001FB0C4F7
UPI001FB0C4F7	UPI0023F1C5F5
O95382-2	O95382-2
A0A2K5X4N2	A0A2K5X4N2
A0A2K5X4N2	O95382
A0A2K5X4N2	O95382-1
A0A2K5X4N2	O95382-3
A0A2K5X4N2	UPI0030094F9A
A0A2K5X4N2	A0A8C2QL63
A0A2K5X4N2	I3MMK6
A0A2K5X4N2	UPI000C879544
A0A2K5X4N2	D3ZFL3
A0A2K5X4N2	G1SHF8
A0A2K5X4N2	G1REN8
L5JUU8	L5JUU8
UPI0003C91A3D	UPI0003C91A3D
