UPI0007403970	UPI0007403970
H9G5C1	H9G5C1
L5M0X5	L5M0X5
L9KQ37	L9KQ37
H2SAW2	H2SAW2
H2SAW2	M3ZL27
F6U6U5	F6U6U5
F6U6U5	A0A5F9DI78
F6U6U5	A0A2J8X1C3
F6U6U5	A0A8C0MFR5
F6U6U5	UPI00123EA135
F6U6U5	UPI0007DC6821
F6U6U5	Q9Y2K2-8
F6U6U5	A0A6D2XRQ7
F6U6U5	M0RD40
F6U6U5	G1LPX7
F6U6U5	A0A8U0S4Q4
F6U6U5	A0A8C2LEI3
F6U6U5	G1NZP6
F6U6U5	H0VR21
F6U6U5	H0XJS9
F6U6U5	UPI00122D790B
A0A8T2L395	A0A8T2L395
A0A8B9TMB4	A0A8B9TMB4
A0A8B9TMB4	U3JSW6
M3XH38	M3XH38
I3KIS5	I3KIS5
A0A8C2NY09	A0A8C2NY09
UPI0024E2446F	UPI0024E2446F
UPI0024E2446F	G3WH08
UPI0024E2446F	Q9Y2K2
UPI0024E2446F	Q9Y2K2-7
UPI0024E2446F	Q9Y2K2-5
L5KK22	L5KK22
