W5MCR7	W5MCR7
I3JFM2	I3JFM2
L5L2K0	L5L2K0
L9L6Q1	L9L6Q1
A0A8C2QWB6	A0A8C2QWB6
A0A8C2QWB6	L5LFC3
G3UGS4	G3UGS4
UPI002F2B4B71	UPI002F2B4B71
UPI00038C6224	UPI00038C6224
UPI00038C6224	A0A5F8A0R5
UPI00038C6224	P26045-1
UPI00038C6224	P26045
UPI00038C6224	UPI0023DD1CC9
UPI00038C6224	UPI0003ADB48E
UPI00038C6224	UPI00122D56EE
UPI00038C6224	P26045-2
UPI00038C6224	UPI0003EAE7C6
UPI00038C6224	UPI00295289C0
UPI00038C6224	G3H9G0
UPI00038C6224	UPI0032B02BFE
UPI00038C6224	A0A5F9CS51
A0A6I8P2Y9	A0A6I8P2Y9
H3A3G9	H3A3G9
UPI00065E944C	UPI00065E944C
UPI00065E944C	UPI001BC8AE00
