A0A7N4V020	A0A7N4V020
A0A3B5QF74	A0A3B5QF74
UPI000DF43555	UPI000DF43555
UPI00001973D2	UPI00001973D2
UPI00313C5C16	UPI00313C5C16
H0UWK7	H0UWK7
A0A3P9I348	A0A3P9I348
A0A3B1JA41	A0A3B1JA41
G1KE74	G1KE74
A0A674MA85	A0A674MA85
A0A8B9SGA0	A0A8B9SGA0
UPI0007AD7A24	UPI0007AD7A24
A0A2K5X2Z0	A0A2K5X2Z0
A0A2K5X2Z0	G1PUW8
A0A2K5X2Z0	A0A0P6J5Y9
A0A2K5X2Z0	UPI002952802F
A0A2K5X2Z0	UPI000D5398DF
A0A2K5X2Z0	A0A452FRZ5
A0A2K5X2Z0	D3ZKI6
A0A2K5X2Z0	F7CGP0
A0A2K5X2Z0	A0A8C2N2U2
A0A2K5X2Z0	L5JXZ9
A0A2K5X2Z0	Q2PPJ7-2
A0A2K5X2Z0	UPI003008BB48
A0A2K5X2Z0	Q2PPJ7-1
A0A2K5X2Z0	Q2PPJ7
A0A2K5X2Z0	Q2PPJ7-3
A0A2K5X2Z0	A0A287BN99
A0A2K5X2Z0	A0A5F9DT20
A0A2K5X2Z0	A0A8C0P584
A0A2K5X2Z0	A0A8I3W5G9
W5NJR3	W5NJR3
F6UGT4	F6UGT4
