A0A8J1IQP6	A0A8J1IQP6
UPI002F2B4457	UPI002F2B4457
H2VEE7	H2VEE7
W5PYE7	W5PYE7
A0A8C0M1R4	A0A8C0M1R4
A0A8C0M1R4	Q5VWQ8
A0A8C0M1R4	Q5VWQ8-2
A0A8C0M1R4	Q5VWQ8-1
A0A8C0M1R4	A0A5G2Q9F3
A0A8C0M1R4	UPI0003C8F708
A0A8C0M1R4	UPI000C9E34B3
A0A8C0M1R4	F6TDB7
A0A8C0M1R4	UPI001D19D3CC
A0A8C0M1R4	UPI0032B0754B
A0A8C0M1R4	UPI002FE2BDA0
A0A8C0M1R4	A0A287CVA7
A0A8C0M1R4	UPI000C7F30DA
A0A8C0M1R4	UPI000387C471
A0A8C0M1R4	A0A0G2JTS0
A0A8C0M1R4	A0A9J7H3C7
A0A8C0M1R4	UPI00123ECB3A
A0A8C0M1R4	UPI0023E8693B
A0A8C0M1R4	UPI00122D86C7
A0A8C0M1R4	A0A452DTU5
A0A8C0M1R4	UPI000D532D0C
Q5VWQ8-3	Q5VWQ8-3
Q5VWQ8-3	Q5VWQ8-5
Q5VWQ8-3	Q5VWQ8-4
Q5VWQ8-3	G1L1W5
Q5VWQ8-3	UPI0005AB9C01
A0A6I8NK08	A0A6I8NK08
A0A6I8NK08	U3JGT4
A0A6I8NK08	H3A865
A0A6I8NK08	W5M8I3
A0A6I8NK08	UPI000739D0BA
A0A8T2LE04	A0A8T2LE04
G3P987	G3P987
