K7GQJ1	K7GQJ1
K7GQJ1	P11362
K7GQJ1	P11362-3
K7GQJ1	P11362-1
K7GQJ1	UPI0023E0DA2C
K7GQJ1	K7CCP1
K7GQJ1	A0A8P0PMX2
K7GQJ1	A0A8U0TEY7
K7GQJ1	A0AAX6R3G1
K7GQJ1	UPI0003D0FF59
K7GQJ1	P11362-14
K7GQJ1	UPI0007DAB3BD
K7GQJ1	P11362-4
K7GQJ1	A0A452E6I8
K7GQJ1	P11362-2
K7GQJ1	P11362-21
K7GQJ1	F6YNK3
K7GQJ1	P11362-7
K7GQJ1	G1RNZ6
K7GQJ1	P11362-20
K7GQJ1	UPI002F2B3591
K7GQJ1	P11362-19
K7GQJ1	P11362-5
K7GQJ1	UPI0011AF3402
K7GQJ1	P11362-6
K7GQJ1	UPI000C8767F4
K7GQJ1	A0A5F9C0P9
W5NCV1	W5NCV1
W5NCV1	A0A8B9LXM2
I3JYB1	I3JYB1
I3JYB1	A4F230
H3B0H1	H3B0H1
