Q924A2-4	Q924A2-4
Q924A2-4	Q96RK0-1
A0A3B5RE55	A0A3B5RE55
H2SZ57	H2SZ57
D2HNH1	D2HNH1
D2HNH1	A0A8U0P1I0
D2HNH1	Q96RK0-2
D2HNH1	A0A2J8QGM1
D2HNH1	UPI001FB08E4C
D2HNH1	UPI002FD83D57
D2HNH1	G1U0H2
D2HNH1	H0WNV4
D2HNH1	UPI0023E1709E
D2HNH1	F1RGJ6
D2HNH1	A0A0A7HUB9
D2HNH1	UPI00100E4BFB
D2HNH1	A0A452ER55
D2HNH1	E1B8E2
D2HNH1	L9L853
D2HNH1	UPI0024459B6E
D2HNH1	G7PXQ9
D2HNH1	H0V319
D2HNH1	F7D5W2
D2HNH1	A0A8C2MKR2
D2HNH1	Q924A2-2
H2MDG8	H2MDG8
UPI0010A7787D	UPI0010A7787D
W5MB05	W5MB05
UPI0003945518	UPI0003945518
A0A8M2BKS2	A0A8M2BKS2
UPI0024E24F09	UPI0024E24F09
