UPI00073FD281	UPI00073FD281
A0A8D0SAA3	A0A8D0SAA3
A0A8D0SAA3	H0UWW4
A0A8D0SAA3	G3QEZ7
A0A8D0SAA3	A0A1D5Q689
A0A8D0SAA3	A0A8C2PA40
A0A8D0SAA3	A0A2I3T9R5
A0A8D0SAA3	G5AMH1
A0A8D0SAA3	A0A3Q2I6S6
A0A8D0SAA3	Q9NQT8-1
A0A8D0SAA3	Q9NQT8
A0A8D0SAA3	UPI002232BA46
A0A8D0SAA3	A0A8C0TK90
A0A5F5XP08	A0A5F5XP08
A0A5F5XP08	UPI000CCC4BAD
M4AB50	M4AB50
M4AB50	I3J4K0
M4AB50	A0A3P9I8D6
M4AB50	UPI001145C6A7
UPI000703F3DD	UPI000703F3DD
A0A5F8GSP6	A0A5F8GSP6
A0A8I4A1N5	A0A8I4A1N5
A0A8I4A1N5	H0WIH2
A0A8I4A1N5	G1S467
UPI001A9FB11F	UPI001A9FB11F
UPI001A9FB11F	UPI0030CCFEB8
M3XPR4	M3XPR4
A0A6I8RSW3	A0A6I8RSW3
F7EUS7	F7EUS7
A0A8B9QT76	A0A8B9QT76
UPI0020CAD653	UPI0020CAD653
UPI00313B4C48	UPI00313B4C48
