A0A287CZH7	A0A287CZH7
UPI0009D93970	UPI0009D93970
UPI000FFC7879	UPI000FFC7879
UPI00313B786F	UPI00313B786F
F6QIP1	F6QIP1
UPI0020CB1A90	UPI0020CB1A90
A0A8I3PZS6	A0A8I3PZS6
A0A8I3PZS6	M3WDX1
A0A8I3PZS6	UPI001494F86A
A0A8I3PZS6	A0A8C2PHD4
A0A8I3PZS6	O75385
A0A8I3PZS6	A0A8D1RN88
A0A8I3PZS6	F7F329
A0A8I3PZS6	UPI000D09C192
A0A8I3PZS6	G3QG55
A0A8I3PZS6	A0A2I3GAH3
A0A8I3PZS6	F6QIW8
A0A8I3PZS6	A0A286XS46
A0A8I3PZS6	G1U8Q4
A0A8I3PZS6	UPI000D531F40
A0A8I3PZS6	A0A0P6J6Y1
A0A8I3PZS6	G3SSI6
UPI0003D77FDE	UPI0003D77FDE
A0A061I6S9	A0A061I6S9
UPI0035A03D94	UPI0035A03D94
A0A674GBF1	A0A674GBF1
A0A674GBF1	A0A8V0ZK02
A0A674GBF1	A0A8B9R6B4
