Q5SXE4	Q5SXE4
W5Q2U3	W5Q2U3
A0A8M9P7D5	A0A8M9P7D5
H2SGC1	H2SGC1
A0A8J0QGR0	A0A8J0QGR0
UPI00313F3CB5	UPI00313F3CB5
UPI001FB0E700	UPI001FB0E700
L8Y131	L8Y131
UPI0024E1EF9A	UPI0024E1EF9A
W5MBH7	W5MBH7
A0A3B5QE71	A0A3B5QE71
A0A3B5QE71	A0A3P9MPA8
A0A669BCK1	A0A669BCK1
H0ZE45	H0ZE45
M3YSF5	M3YSF5
M3YSF5	Q8IVT5
M3YSF5	Q8IVT5-1
M3YSF5	Q8IVT5-4
M3YSF5	Q8IVT5-3
M3YSF5	A0A9J7JYL4
M3YSF5	G1QLB2
M3YSF5	UPI001A9F0AE9
M3YSF5	Q8IVT5-2
M3YSF5	H0XMK2
M3YSF5	A0A452G255
M3YSF5	A0A9L0SDU0
M3YSF5	A0AAX6R4P8
M3YSF5	A0A480UTY4
M3YSF5	A0A3Q1LKV4
M3YSF5	G1SS96
M3YSF5	UPI000350B577
M3YSF5	G3T6S6
M3YSF5	A0A8P0SMP8
M3YSF5	L5LVG9
H9EZQ5	H9EZQ5
A0A7N4P0R9	A0A7N4P0R9
A0A8B9T8C5	A0A8B9T8C5
UPI0010A8363A	UPI0010A8363A
A0A8T2KZ03	A0A8T2KZ03
G7PTW0	G7PTW0
