A0A803SR47	A0A803SR47
A0A7N4UXL5	A0A7N4UXL5
Q6DRG7-1	Q6DRG7-1
A0A8J1JHC3	A0A8J1JHC3
UPI001145F80E	UPI001145F80E
UPI001145F80E	A0A3B3H5E7
UPI001145F80E	UPI000DF22DA9
A0A8B9HTM6	A0A8B9HTM6
Q6DRG7-2	Q6DRG7-2
A0A452DUH0	A0A452DUH0
A0A452DUH0	A0A2I2UR59
A0A452DUH0	UPI0004F2308D
A0A452DUH0	A0A9J7F5Z6
A0A452DUH0	O14974
A0A452DUH0	O14974-5
A0A452DUH0	O14974-2
A0A452DUH0	UPI00222F6C44
A0A452DUH0	O14974-1
A0A452DUH0	A0AAX6QUV6
A0A452DUH0	Q9DBR7
A0A452DUH0	Q9DBR7-2
A0A452DUH0	Q9DBR7-1
A0A452DUH0	UPI0003EBBBEB
A0A452DUH0	O14974-3
A0A452DUH0	O14974-4
A0A452DUH0	UPI002FD7C887
A0A452DUH0	A0A8V0YK06
A0A452DUH0	UPI0030D13E74
UPI000F7CA811	UPI000F7CA811
UPI000F7CA811	UPI0011AF9787
A0A3B5Q840	A0A3B5Q840
H0YHI8	H0YHI8
A0A480MAC2	A0A480MAC2
H3B2G4	H3B2G4
