W5NWN8	W5NWN8
UPI0024E1AB1D	UPI0024E1AB1D
A0A8V0XRL8	A0A8V0XRL8
A0A8V0XRL8	UPI0011AF5D33
A0AAX6R8U8	A0AAX6R8U8
A0A8I3S013	A0A8I3S013
UPI00073FC267	UPI00073FC267
A0A8B9JK57	A0A8B9JK57
UPI0009D9502B	UPI0009D9502B
G1KG51	G1KG51
A0A6I8NK07	A0A6I8NK07
A0A674MP44	A0A674MP44
UPI0003C8ED8F	UPI0003C8ED8F
UPI0003C8ED8F	H2QTW0
UPI0003C8ED8F	O94885
UPI0003C8ED8F	A0A337SB23
UPI0003C8ED8F	A0A8C2RPF3
UPI0003C8ED8F	A0A3Q1LPN3
UPI0003C8ED8F	A0A9L0QZN7
P59808	P59808
Q5TZ33	Q5TZ33
G1T699	G1T699
F6ULW6	F6ULW6
L5M2M2	L5M2M2
UPI000C6DADAF	UPI000C6DADAF
UPI000C6DADAF	A0A669F1J2
