A0A8T2KVB5	A0A8T2KVB5
G1TGR7	G1TGR7
G9KVF6	G9KVF6
A0A9L0SLK3	A0A9L0SLK3
A0A9L0SLK3	A0A287BG63
A0A9L0SLK3	P49815-1
A0A9L0SLK3	P49815
A0A9L0SLK3	U3EML3
A0A9L0SLK3	UPI000947BC94
A0A9L0SLK3	P49815-3
A0A9L0SLK3	A0AAX6QI33
A0A9L0SLK3	UPI0020191789
A0A9L0SLK3	W5Q766
A0A9L0SLK3	P49815-6
A0A9L0SLK3	P49815-5
A0A9L0SLK3	G3TF51
A0A9L0SLK3	UPI002FE0A6A1
A0A9L0SLK3	P49815-4
A0A9L0SLK3	P49815-2
A0A9L0SLK3	F2XXG1
A0A9L0SLK3	P49815-7
A0A9L0SLK3	A0A9J7GEB9
A0A9L0SLK3	UPI001676CEBA
A0A9L0SLK3	UPI0023E7C623
A0A9L0SLK3	A0A2I3H7F7
A0A9L0SLK3	UPI0019175B91
A0A9L0SLK3	UPI0032B07C4A
A0A9L0SLK3	A0A2I2YFP6
A0A9L0SLK3	G3WTR6
A0A9L0SLK3	A0A2J8INL4
A0A9L0SLK3	UPI000FFB7119
A0A9L0SLK3	F7EG37
A0A9L0SLK3	UPI000D531E6A
A0A803TRG0	A0A803TRG0
A0A8B9TP64	A0A8B9TP64
A0A8B9TP64	A0A803VH21
A0A8B9TP64	A0A674GBH7
A0A6I8PHE2	A0A6I8PHE2
H2ZSC2	H2ZSC2
