A0A3B5Q196	A0A3B5Q196
H3AFL1	H3AFL1
H2UG30	H2UG30
G3VPG9	G3VPG9
A0A669EZU8	A0A669EZU8
W5LGA0	W5LGA0
W5QBK9	W5QBK9
UPI0024E19F06	UPI0024E19F06
UPI0024E19F06	UPI0007326CE7
UPI0024E19F06	A0A8B9TXJ8
UPI0024E19F06	UPI001FB0F93D
UPI0024E19F06	UPI0004F03B16
UPI0024E19F06	UPI0024455FB3
UPI0024E19F06	L5M1X4
UPI0024E19F06	UPI000FFB1A0F
UPI0024E19F06	UPI0028CB2CA7
UPI0024E19F06	A0A9J7F8R2
UPI0024E19F06	UPI00222FB55E
UPI0024E19F06	UPI002FE3582A
UPI0024E19F06	A0A8I5ZP14
UPI0024E19F06	H0WQY7
UPI0024E19F06	P56524-1
UPI0024E19F06	P56524
UPI0024E19F06	UPI0003D77B28
UPI0024E19F06	UPI00159D9892
UPI0024E19F06	H2P937
UPI0024E19F06	UPI0010A2002B
UPI0024E19F06	P56524-2
UPI0024E19F06	UPI000CCC0640
UPI0024E19F06	A0A4X1T4T6
UPI0024E19F06	UPI0030D402E8
UPI0024E19F06	A0A803V3I1
L5KSG9	L5KSG9
