U3JS50	U3JS50
UPI0007403222	UPI0007403222
UPI0030D12529	UPI0030D12529
H2SBD7	H2SBD7
A0A8B9H329	A0A8B9H329
UPI00038C5600	UPI00038C5600
A0A8C2NQG8	A0A8C2NQG8
A0A3B5QNW8	A0A3B5QNW8
A0A3B3HLW7	A0A3B3HLW7
Q7SYH9	Q7SYH9
Q7SYH9	A0A8B9T1D2
A0A8M3BA25	A0A8M3BA25
A0A6I8NNE0	A0A6I8NNE0
UPI002F2B5633	UPI002F2B5633
A0A9J7GNQ1	A0A9J7GNQ1
A0A8D1ATS6	A0A8D1ATS6
A0A8D1ATS6	G7NG48
A0A8D1ATS6	G7PRL9
P49796-1	P49796-1
A0A8I3NBC6	A0A8I3NBC6
A0A8I3NBC6	G1SUS3
A0A8I3NBC6	UPI000703DC82
A0A8I3NBC6	P49796
A0A8I3NBC6	P49796-3
A0A8I3NBC6	P49796-6
A0A8I3NBC6	P49796-4
A0A8I3NBC6	A0A3Q2KWB2
A0A8I3NBC6	G5B200
A0A8I3NBC6	A0A286XCE3
A0A8I3NBC6	G3S4X9
A0A8I3NBC6	UPI0003C486AC
A0A8I3NBC6	UPI0003EC4BBC
A0A8I3NBC6	A0A2I3T705
