A0A8T2LIB6	A0A8T2LIB6
UPI0024E2206B	UPI0024E2206B
UPI002F2B55E8	UPI002F2B55E8
G1NUM6	G1NUM6
A0A8C2LX72	A0A8C2LX72
UPI00076721E1	UPI00076721E1
UPI00313E31D9	UPI00313E31D9
G5C562	G5C562
UPI0007AD8FDB	UPI0007AD8FDB
UPI00073FAD00	UPI00073FAD00
G1SF53	G1SF53
UPI0003AE8CBE	UPI0003AE8CBE
UPI0003AE8CBE	UPI000703E7FC
UPI0003AE8CBE	H0VN73
UPI0003AE8CBE	A0A3Q1NL77
UPI0003AE8CBE	G1LT46
UPI0003AE8CBE	UPI0030CC12B2
UPI0003AE8CBE	UPI00300BF992
UPI0003AE8CBE	A0A2K5VDR3
UPI0003AE8CBE	H2R042
UPI0003AE8CBE	O94827-7
UPI0003AE8CBE	O94827
UPI0003AE8CBE	O94827-4
UPI0003AE8CBE	O94827-3
UPI0003AE8CBE	O94827-5
UPI0003AE8CBE	F7D8M3
UPI0003AE8CBE	G7MGJ9
UPI0003AE8CBE	A0A452FC12
G1RAY1	G1RAY1
W5PQM1	W5PQM1
G3VR05	G3VR05
L5KG89	L5KG89
