A0A8T2LCI4	A0A8T2LCI4
A0A803V8M1	A0A803V8M1
M3XJR8	M3XJR8
P49757-9	P49757-9
P49757-9	I7G5M6
A0A8P0T8N1	A0A8P0T8N1
A0A6I8MZH3	A0A6I8MZH3
UPI0011AF6E86	UPI0011AF6E86
A0A7N5KD68	A0A7N5KD68
A0A7N5KD68	P49757
A0A7N5KD68	UPI0023E1FA28
A0A7N5KD68	P49757-3
A0A7N5KD68	A0A6D2WST0
A0A7N5KD68	P49757-1
A0A7N5KD68	A0A2I2YDF7
A0A7N5KD68	P49757-4
A0A7N5KD68	P49757-2
A0A7N5KD68	A0A286Y575
A0A7N5KD68	A0A8C2QJ40
A0A7N5KD68	A0A8D0N5N5
A0A7N5KD68	A0A0N8ETF8
A0A7N5KD68	UPI0003C900C2
A0A7N5KD68	Q9QZS3-4
A0A7N5KD68	Q9QZS3-2
A0A7N5KD68	Q9QZS3-3
A0A7N5KD68	Q9QZS3-1
A0A7N5KD68	A0A452F0K6
A0A7N5KD68	UPI000D535648
A0A7N5KD68	F6YXJ9
A0A7N5KD68	UPI001C2E53D9
A0A7N5KD68	Q2LC87
