G1NUW3	G1NUW3
UPI000393DEA2	UPI000393DEA2
UPI000393DEA2	H2SQS0
UPI000393DEA2	A0A3B5R2H1
D2HPN2	D2HPN2
A0A3P9IIL1	A0A3P9IIL1
G5ATH3	G5ATH3
UPI0003AB88FB	UPI0003AB88FB
UPI0003AB88FB	P21127
UPI0003AB88FB	P21127-1
UPI0003AB88FB	A0A6D2WMH8
UPI0003AB88FB	F1N5K1
UPI0003AB88FB	UPI00122DB044
UPI0003AB88FB	UPI0000028464
UPI0003AB88FB	A0A452F2C8
UPI0003AB88FB	F1RJC5
UPI0003AB88FB	UPI00064456F3
UPI0003AB88FB	A0A286Y0F9
UPI0003AB88FB	A0A9J7F985
UPI0003AB88FB	P21127-9
UPI0003AB88FB	P21127-2
UPI0003AB88FB	U3DZ35
UPI0003AB88FB	UPI0010A7BD59
H0ZYQ2	H0ZYQ2
H0ZYQ2	U3K436
H0ZYQ2	R0M0B2
UPI00313C7703	UPI00313C7703
A0A8B9LNK4	A0A8B9LNK4
A0A8B9LNK4	UPI0035A10DFC
L5M2Y9	L5M2Y9
A0A8J0SIV6	A0A8J0SIV6
