M3XGW1	M3XGW1
A0A7N4PNF7	A0A7N4PNF7
A0A803SYZ6	A0A803SYZ6
A0A803SYZ6	UPI000C7ED700
A0A803SYZ6	UPI002445739E
A0A803SYZ6	UPI0005404019
A0A803SYZ6	A0A5F9CVE6
A0A803SYZ6	Q7KZI7-14
A0A803SYZ6	A0AAX6TID0
A0A803SYZ6	G9K9P2
A0A803SYZ6	A0A8C0MWP3
A0A803SYZ6	H9FR05
A0A674PC46	A0A674PC46
A0A674PC46	A0A3P9KRD6
W5M0Y8	W5M0Y8
A0A669BIN3	A0A669BIN3
A0AAA9SG07	A0AAA9SG07
A0AAA9SG07	Q7KZI7-2
A0AAA9SG07	Q7KZI7
A0AAA9SG07	Q7KZI7-1
A0AAA9SG07	Q7KZI7-6
A0AAA9SG07	A0AAJ7JRY6
A0AAA9SG07	Q7KZI7-12
A0AAA9SG07	Q7KZI7-10
A0AAA9SG07	Q7KZI7-4
A0AAA9SG07	Q7KZI7-13
A0AAA9SG07	Q7KZI7-3
A0AAA9SG07	A0A9L0TM50
A0AAA9SG07	A0A8C2LSM1
A0AAA9SG07	Q05512-3
A0AAA9SG07	UPI00022B5FB3
A0AAA9SG07	W5NZW0
A0AAA9SG07	Q7KZI7-9
A0AAA9SG07	Q7KZI7-11
A0AAA9SG07	A0A4X1VDS5
A0AAA9SG07	Q7KZI7-8
A0AAA9SG07	Q7KZI7-7
A0AAA9SG07	Q7KZI7-16
A0AAA9SG07	Q05512-4
A0AAA9SG07	Q7KZI7-15
A0AAA9SG07	Q7KZI7-5
A0AAA9SG07	A0A2I3TEE6
A0AAA9SG07	Q05512-2
A0AAA9SG07	Q05512-1
A0A674HK25	A0A674HK25
A0A8B9R7S1	A0A8B9R7S1
A0A8B9R7S1	A0A8M3AU54
L5LDX6	L5LDX6
L5LDX6	A0A6I8N2D7
A0A3B5R6U8	A0A3B5R6U8
