H3B3Y3	H3B3Y3
Q9R1V6-12	Q9R1V6-12
Q9R1V6-12	Q9R1V6-10
Q9R1V6-12	Q9R1V6-7
Q9R1V6-12	Q9R1V6-1
Q9R1V6-12	Q9R1V6-14
Q9R1V6-12	Q9R1V6-19
Q9R1V6-12	Q9R1V6-5
Q9R1V6-12	Q9R1V6-8
Q9R1V6-12	Q9R1V6-9
Q9R1V6-12	Q9R1V6-4
Q9R1V6-12	Q9R1V6-17
Q9R1V6-12	Q9R1V6-6
Q9R1V6-12	Q9R1V6-2
Q9R1V6-12	Q9R1V6-15
Q9R1V6-12	Q9R1V6-13
Q9R1V6-12	Q9R1V6-20
Q9R1V6-12	Q9R1V6-11
I3JFY8	I3JFY8
H2M022	H2M022
A0A8C2N9E2	A0A8C2N9E2
A0A061IMQ3	A0A061IMQ3
W5MWB2	W5MWB2
A0A8B9ZGU0	A0A8B9ZGU0
UPI001145237A	UPI001145237A
UPI001A9D2ED7	UPI001A9D2ED7
UPI001A9D2ED7	D2GY23
UPI001A9D2ED7	Q9P0K1
UPI001A9D2ED7	Q9P0K1-2
UPI001A9D2ED7	Q9R1V6-3
UPI001A9D2ED7	Q9P0K1-5
UPI001A9D2ED7	UPI0023E87CF4
UPI001A9D2ED7	UPI0007DBBB0D
UPI001A9D2ED7	Q9P0K1-4
UPI001A9D2ED7	Q9P0K1-1
UPI001A9D2ED7	UPI0007B9902C
UPI001A9D2ED7	A0A8D0YDP7
UPI001A9D2ED7	Q9P0K1-3
A0A8B9L514	A0A8B9L514
A0A8V0XNL1	A0A8V0XNL1
A0A3B5Q6H8	A0A3B5Q6H8
