A0A8J1JNI4	A0A8J1JNI4
Q9UQ26-4	Q9UQ26-4
Q9UQ26-4	Q9UQ26-5
Q9UQ26-2	Q9UQ26-2
Q9UQ26-3	Q9UQ26-3
Q9UQ26-3	A0A9J7GHX6
Q9UQ26-3	UPI0003C1A1C6
Q9UQ26-3	A0A803V1G6
Q9UQ26-3	UPI001AE42416
Q9UQ26-3	UPI0010A2028A
Q9UQ26-3	UPI00159E5DB6
Q9UQ26-3	UPI0011AEEBC7
Q9UQ26-3	E1B7V2
Q9UQ26-3	A0AAX6QZ71
Q9UQ26-3	Q9UQ26-6
Q9UQ26-3	Q9UQ26
Q9UQ26-3	A0A8C0QCB2
Q9UQ26-3	UPI0014944BA6
Q9UQ26-3	Q9UQ26-1
Q9UQ26-3	UPI0003EC13F7
Q9UQ26-3	A0A8U0S0Y5
Q9UQ26-3	UPI000C9E9E7A
Q9UQ26-3	A0A8I5UE16
Q9UQ26-3	UPI002FE1E961
Q9UQ26-3	UPI0007EE85C2
Q9UQ26-3	UPI0000193A5D
Q9UQ26-3	UPI0008101A5B
Q9UQ26-3	UPI003013647A
Q9UQ26-3	UPI000C7E9665
Q9UQ26-3	UPI00122D941A
Q9UQ26-3	UPI001D19A460
Q9UQ26-3	UPI00123ED7B2
Q9UQ26-3	UPI00038C0444
Q9UQ26-3	A0A8W4FA42
Q9UQ26-3	UPI0029526AA2
Q9UQ26-3	Q9UQ26-8
Q9UQ26-3	UPI0010A8BD84
Q9UQ26-3	UPI001301E953
Q9UQ26-3	UPI0024E253D8
A0A2K5UU02	A0A2K5UU02
A0A2K5UU02	UPI000D53AD84
