G7N6S9	G7N6S9
UPI001F0058B7	UPI001F0058B7
UPI001F0058B7	UPI000F7CF11D
H3BIM8	H3BIM8
H2L696	H2L696
Q8C2B3-6	Q8C2B3-6
Q8C2B3-6	A0A337SK32
Q8C2B3-6	Q8WUI4-7
Q8C2B3-6	Q8WUI4-3
Q8C2B3-6	UPI0023F0C4E3
Q8C2B3-6	A0A8I6GAE4
Q8C2B3-6	A0A061IGP4
Q8C2B3-6	Q8C2B3-3
Q8C2B3-6	Q8C2B3-2
G5BWD2	G5BWD2
Q8WUI4-10	Q8WUI4-10
UPI0007AD8123	UPI0007AD8123
F7FEY9	F7FEY9
UPI000767BD6D	UPI000767BD6D
W5MD21	W5MD21
A0A7N5JG12	A0A7N5JG12
A0A7N5JG12	A0A3Q1N0A4
A0A7N5JG12	A0A452EDC7
A0A3B1JEU0	A0A3B1JEU0
A0A8I3S969	A0A8I3S969
A0A8I3S969	A0A287D9Z7
A0A8I3S969	Q8C2B3-5
A0A8I3S969	Q8WUI4-8
A0A8I3S969	Q8WUI4
A0A8I3S969	Q8WUI4-1
A0A8I3S969	Q8WUI4-6
A0A8I3S969	Q8WUI4-5
A0A8I3S969	Q8C2B3-4
A0A8I3S969	H0V6U0
A0A8I3S969	UPI000CCC4359
A0A8I3S969	H0WS53
A0A8I3S969	Q8C2B3-1
A0A8I3S969	Q8WUI4-4
A0A480L3B8	A0A480L3B8
A0A480L3B8	UPI000FFB2AB8
A0A480L3B8	A0A2J8WCV4
