H2RQT9	H2RQT9
Q99683-2	Q99683-2
A0A3P9L6Z3	A0A3P9L6Z3
A0A4X1VMZ5	A0A4X1VMZ5
A0A4X1VMZ5	A0AAA9RXG7
A0A4X1VMZ5	Q99683
A0A4X1VMZ5	Q99683-1
A0A4X1VMZ5	A0A6P3EHA9
A0A4X1VMZ5	A0A8U0MFT1
A0A4X1VMZ5	A0A8C0RVK6
A0A4X1VMZ5	U3DSH8
A0A4X1VMZ5	G3S3K1
A0A4X1VMZ5	UPI002230FA68
A0A4X1VMZ5	UPI0003F12659
A0A4X1VMZ5	A0A452FWU2
A0A4X1VMZ5	G3SM05
A0A4X1VMZ5	G1P8F6
A0A4X1VMZ5	UPI0023E8CDA7
A0A4X1VMZ5	A0A5F7ZNK9
A0A4X1VMZ5	E9PWG9
A0A4X1VMZ5	A0A8C2LTL0
A0A4X1VMZ5	L9L2S7
A0A4X1VMZ5	UPI001A9CF390
A0A4X1VMZ5	A0A2I3SLK5
A0A4X1VMZ5	A0A2I3HWF6
A0A4X1VMZ5	G1LU31
A0A4X1VMZ5	A0A286XT30
A0A4X1VMZ5	A0AAX6QET6
A0A4X1VMZ5	UPI001D19AEC4
A0A3B1KFB1	A0A3B1KFB1
W5NK77	W5NK77
A0A803T886	A0A803T886
UPI00313C5901	UPI00313C5901
