A0AAX6S6D5	A0AAX6S6D5
A0A8B9K636	A0A8B9K636
Q8CFH3	Q8CFH3
G9K8H7	G9K8H7
L9LAX0	L9LAX0
UPI0007674754	UPI0007674754
A0A8D0PF50	A0A8D0PF50
H2USI1	H2USI1
A0A669BVZ3	A0A669BVZ3
G3VDD3	G3VDD3
A0A3B5QWF5	A0A3B5QWF5
A0A8V0X7G4	A0A8V0X7G4
A0A8V0X7G4	UPI0007AD8ECF
A0A803TGH2	A0A803TGH2
H3AXR7	H3AXR7
UPI0024E272C9	UPI0024E272C9
A0A7N9IH95	A0A7N9IH95
A0A7N9IH95	A0A8C2S6K0
A0A7N9IH95	D7PGC7
A0A7N9IH95	UPI002FD83AFE
A0A7N9IH95	H0VNZ4
A0A7N9IH95	Q14693-3
A0A7N9IH95	Q14693-7
A0A7N9IH95	Q14693-5
A0A7N9IH95	Q14693-4
A0A7N9IH95	Q14693-1
A0A7N9IH95	Q14693
A0A7N9IH95	Q14693-2
A0A7N9IH95	UPI001A9D5316
A0A7N9IH95	A0A2J8NLT0
A0A7N9IH95	A0A5F9C534
A0A7N9IH95	A0A8I5UBH0
A0A7N9IH95	A0A3Q2HAE0
A0A7N9IH95	F6ZVT3
Q14693-6	Q14693-6
