Q8NHY2-3	Q8NHY2-3
L5LP32	L5LP32
L5LP32	A0A8V0Y0R5
L5LP32	A0A5F8GVM1
L5LP32	A0A803V202
L5LP32	UPI0019D4D86E
L5LP32	UPI003007720C
L5LP32	A0A452F080
L5LP32	Q8NHY2-1
L5LP32	Q8NHY2
L5LP32	A0AAX6PJ26
L5LP32	A0A8D1STP7
L5LP32	UPI0029528567
L5LP32	A0A9J7JRZ1
L5LP32	Q8NHY2-2
L5LP32	UPI0005D02894
L5LP32	A0A7N9CLQ4
L5LP32	A0A8I3ND49
L5LP32	UPI000C7E9456
L5LP32	UPI0003D755F2
L5LP32	A0A3Q2KMJ3
L5LP32	H9ZCC4
L5LP32	A0A2I2YVP5
L5LP32	A0AAA9SK32
L5LP32	UPI001301A5EC
L5LP32	A0A5F9CFJ9
L5LP32	Q8NHY2-4
L5LP32	UPI0004F04C7B
L5LP32	UPI000CCC5452
L5LP32	UPI000947D055
L9JCW9	L9JCW9
L5KZK1	L5KZK1
