H3A6R0	H3A6R0
UPI001AEAD67C	UPI001AEAD67C
UPI001AEAD67C	UPI0007AD7E7F
UPI001AEAD67C	UPI0018D5F516
UPI001AEAD67C	UPI0011AFA983
UPI002F2B7C4B	UPI002F2B7C4B
A0AAX6PCR0	A0AAX6PCR0
A0AAX6PCR0	UPI00038BCCD6
A0AAX6PCR0	Q00975
A0AAX6PCR0	F7HMC6
A0AAX6PCR0	Q00975-1
A0AAX6PCR0	Q00975-2
A0AAX6PCR0	UPI00122D8B3F
A0AAX6PCR0	A0A8C2MI40
A0AAX6PCR0	A0A2J8PWV4
A0AAX6PCR0	A0A8C0MTM7
A0AAX6PCR0	G1T3W2
A0AAX6PCR0	UPI002FE1AA13
A0AAX6PCR0	H0XF95
A0AAX6PCR0	A0A8U0S9J8
A0AAX6PCR0	UPI000C2F9495
A0AAX6PCR0	UPI0003D77AF4
A0AAX6PCR0	UPI001C2DF2B1
A0AAX6PCR0	A6JSY9
A0AAX6PCR0	L8YDQ4
A0AAX6PCR0	A0AAJ7NYA3
A0AAX6PCR0	UPI000C9E5492
A0AAX6PCR0	A0A2I2ZU11
UPI0009D93FFE	UPI0009D93FFE
UPI0024E1AEDD	UPI0024E1AEDD
UPI0024E1AEDD	UPI001301E04B
UPI000C6C9615	UPI000C6C9615
A0A6I8RDK9	A0A6I8RDK9
UPI00359F98CD	UPI00359F98CD
UPI000DF1598D	UPI000DF1598D
A0A6I8NNH0	A0A6I8NNH0
UPI00073FC5FA	UPI00073FC5FA
G3UNS2	G3UNS2
UPI000767346F	UPI000767346F
A0A8T2KS42	A0A8T2KS42
