H2RNG5	H2RNG5
UPI0020CB381B	UPI0020CB381B
UPI0024E1DE2F	UPI0024E1DE2F
UPI0024E1DE2F	A0A7N4NJI4
H2M939	H2M939
UPI0003EC5CCB	UPI0003EC5CCB
UPI0003EC5CCB	UPI000CCC579B
UPI0003EC5CCB	UPI00076853C7
UPI0003EC5CCB	UPI000DC68692
UPI0003EC5CCB	A0A9J7GCS7
UPI0003EC5CCB	UPI00100EAD99
UPI0003EC5CCB	A0AAJ7KZG0
UPI0003EC5CCB	UPI000D53453C
UPI0003EC5CCB	UPI0007043AC8
UPI0003EC5CCB	UPI00038C4B2F
UPI0003EC5CCB	A0A5G2QLC9
UPI0003EC5CCB	G5BEV1
UPI0003EC5CCB	UPI000226A579
UPI0003EC5CCB	K7CCK0
UPI0003EC5CCB	O75376-1
UPI0003EC5CCB	O75376
UPI0003EC5CCB	O75376-2
UPI0003EC5CCB	UPI00300A8530
UPI0003EC5CCB	G7NJ06
UPI0003EC5CCB	A0A2K5WHJ9
UPI0003EC5CCB	G1RXL1
UPI0003EC5CCB	UPI000C9DDAF6
UPI0003EC5CCB	UPI002FE0DC10
UPI0003EC5CCB	A0A8U0SEE0
UPI0003EC5CCB	G1LDH3
UPI0003EC5CCB	H0WZX5
UPI0003EC5CCB	UPI0030CEE6F5
UPI0003EC5CCB	UPI0003F1BD7B
UPI0003EC5CCB	UPI0023DD0FAC
UPI0003EC5CCB	UPI001916F339
UPI0003EC5CCB	UPI0022309CE5
UPI0003EC5CCB	UPI0003D75143
UPI0003505B82	UPI0003505B82
A0A8B9TT35	A0A8B9TT35
A0A8B9TT35	A0A803W851
A0A8B9TT35	UPI0010A882FB
A8B6H7	A8B6H7
I3K4U8	I3K4U8
H3A2H5	H3A2H5
W5M717	W5M717
M3ZT78	M3ZT78
