A0A8B9LTB9	A0A8B9LTB9
A0A3P9JCX6	A0A3P9JCX6
UPI0003503E83	UPI0003503E83
UPI0003503E83	A0A7N5KEG5
UPI0003503E83	Q14155-4
UPI0003503E83	Q14155
UPI0003503E83	UPI0003EA8EEA
UPI0003503E83	UPI0003EC12DC
UPI0003503E83	A0A3Q2ILZ2
UPI0003503E83	G3I1U6
UPI0003503E83	O55043
UPI0003503E83	Q14155-1
UPI0003503E83	Q14155-5
UPI0003503E83	Q14155-2
UPI0003503E83	A0A287D3F6
UPI0003503E83	UPI001C2EDEB5
UPI0003503E83	Q14155-3
UPI0003503E83	A0A286Y3H1
UPI0003503E83	Q14155-6
UPI0003503E83	A0A8C0QG04
UPI0003503E83	F1MBM9
UPI0003503E83	A0A8D1VLY2
UPI0003503E83	UPI00159E774B
UPI0003503E83	A0AAJ7KIH0
UPI0003503E83	A0A2I3HL13
R0LB43	R0LB43
B7Z344	B7Z344
