,UniprotID,Homologs
0,Q9UPN4,"{'A0A8C0PRS2', 'Q9UPN4-3', 'Q9UPN4', 'W5N5R0', 'A0A5F4W1J7', 'A0A2J8Y2G8', 'K7BRX3', 'H3AZA8', 'A0A9J7JW99', 'A0A8D1LRY6', 'A0A3B3I396', 'UPI0011AF8A53', 'UPI0007AD8B2E', 'UPI0019D41872', 'A0A493SUC6', 'H2S8V1', 'A0A2K5VXY7', 'L9KZJ7', 'UPI000D534209', 'UPI00122D78AD', 'G5BJ59', 'Q9UPN4-1', 'A0A3B1JT43', 'Q9UPN4-2', 'UPI00300813B6', 'M1EF84'}"
1,Q86V87,"{'Q86V87', 'F7CAU0', 'A0A9L0R7K1', 'A0A8B9RHJ5', 'A0A803TN10', 'L9JR81', 'H3BBT3', 'A0A480J3E7', 'A0A8M9PR21', 'H2MTF5', 'R0J7Q9', 'A6HTM1', 'A6NNC3', 'G5B9P5'}"
2,Q16613,"{'UPI000FFB821D', 'A0AAJ7KVD3', 'Q16613', 'A0A3B3IDJ9', 'F7AXK9', 'G3SMY2', 'Q16613-2', 'F6R4K4', 'A0A7N5P5Y6', 'H3B722', 'UPI0022317A90', 'A0A674MYF6', 'Q9QUP1', 'A0A8D0WZJ8', 'Q16613-1', 'F7A3J6', 'F7CBQ8', 'Q9H3S9', 'L5KLA9', 'W5MLP0', 'A0A286XWC7', 'UPI00122D7B1E'}"
3,Q92974,"{'UPI0029525EDD', 'A0A8C2NDQ1', 'Q92974', 'A0A287APM0', 'UPI000D1932B8', 'I3LX26', 'A0A674GXH1', 'W5KAU6', 'A0A7N4PZJ7', 'Q6NY14', 'UPI0018D8B235', 'A0A8V1AB72', 'UPI000FFB3B84', 'UPI0014943DB7', 'G1SGG2', 'Q92974-3', 'A0A8C0R9B2', 'L5JWA0', 'G5ARA7', 'B7Z977', 'H3AF10', 'UPI00122DB66E', 'G7NV72', 'A0A3P9HYK4', 'A0A674NJ22', 'UPI0030D58378', 'A0A1B0GWX8', 'A0A6I8NVB4', 'Q92974-1', 'Q92974-2', 'UPI002FDF5F30'}"
4,Q9UJM3,"{'G5C550', 'W5M8M5', 'Q9UJM3', 'UPI002F2B3C87', 'A0A8B9H0E2', 'A0A5F5PT97', 'M3Y5C0', 'L5LRC7', 'A0A8D1JIE9', 'A0A286Y3Q2', 'A0A2K5VNE8', 'A0AAQ4S704', 'L5KJ57', 'A0A3B5QEM6', 'H3AAW7'}"
5,P48552,"{'A0A8C2NYM3', 'F6SP99', 'P48552', 'A0A8M2BGF6', 'A0A674NVB9', 'Q1HDK7', 'A0A5F8AFT9', 'H3A864', 'W5LTI0', 'F7A804'}"
6,Q8IYK8,"{'UPI0029527DD7', 'G1SF25', 'G1LL76', 'G3HRD2', 'Q8IYK8', 'UPI0005D03242', 'H3BB02', 'L9L3A7', 'A0A8C2PKC5', 'UPI000A2B0FD5', 'UPI00167A2AD2', 'Q8IYK8-1', 'Q8IYK8-2', 'H0W2X2', 'G3U6M9'}"
7,Q9Y4L5,"{'A0A5K1V0U1', 'A0A8B9H100', 'UPI0007404225', 'UPI0005D027E9', 'G3X2I0', 'H3BC29', 'Q9Y4L5', 'A0A5F9DJV0', 'A0A8D1NYV2', 'A0A2J8PWI3', 'W5QHB3', 'A0A9L0T3J1', 'A0A0G2JFV4', 'UPI0018D6D6E9'}"
8,P19484,"{'A0A480LSL2', 'A0A8I3WQZ6', 'A0A5F5XJ73', 'L5LVF5', 'P19484-1', 'P19484-2', 'P19484', 'L5JNG9', 'H3AZE9', 'A0A8M9Q799', 'W5N2T2', 'Q709A5', 'G5BNI2', 'A0A8J1J5S8', 'A0A8C2P7N0'}"
9,Q9UPA5,"{'UPI00076785D7', 'Q9UPA5', 'M4ARU9', 'O88737-1', 'A0A8M1QUW7', 'A0A452ESF5', 'A0A7N4NUA4', 'A0A8V1AFZ0', 'G5BZW7', 'G1R577', 'A0A835ZQ26', 'A0A286XXD0', 'G3NQ26', 'A0A6I8PB04', 'UPI000DF28883', 'A0A5F9CYZ1', 'H3ARF6', 'O88737', 'UPI000D5396DB', 'A0A3B1JZ25', 'O88737-2', 'G1KVM6', 'UPI000FFB8AC8', 'UPI001145A750', 'W5NA51', 'H2LBS1', 'UPI0024E20AB3', 'A0A803J6W6', 'A0A8C0NDX1', 'H0XXP7', 'UPI000CCC2327', 'UPI0007AD8D37'}"
